satname, satId, intl_code, launchDate, period, category
SCATSAT 1, 41790, 2016-059H, September 26 2016, 99.2, WEATHER
INSAT 3DR, 41752, 2016-054A, September 8 2016, 1436.1, WEATHER
ELEKTRO-L 2, 41105, 2015-074A, December 11 2015, 1436.1, WEATHER
MSG 4, 40732, 2015-034A, July 15 2015, 1436.2, WEATHER
FENGYUN 2G, 40367, 2014-090A, December 31 2014, 1436.1, WEATHER
HIMAWARI 8, 40267, 2014-060A, October 6 2014, 1436.1, WEATHER
METEOR M2, 40069, 2014-037A, July 8 2014, 101.4, WEATHER
DMSP 5D-3 F19 (USA 249), 39630, 2014-015A, April 3 2014, 101.8, WEATHER
FENGYUN 3C, 39260, 2013-052A, September 23 2013, 101.7, WEATHER
INSAT 3D, 39216, 2013-038B, July 25 2013, 1436.1, WEATHER
KMS 3-2, 39026, 2012-072A, December 12 2012, 94.3, WEATHER
METOP-B, 38771, 2012-049A, September 17 2012, 101.3, WEATHER
EXACTVIEW-1, 38709, 2012-039C, July 22 2012, 101.1, WEATHER
METEOSAT 10 (MSG 3), 38552, 2012-035B, July 5 2012, 1436.2, WEATHER
FENGYUN 2F, 38049, 2012-002A, January 13 2012, 1436.2, WEATHER
SUOMI NPP, 37849, 2011-061A, October 28 2011, 101.4, WEATHER
ELEKTRO-L, 37344, 2011-001A, January 20 2011, 1435.7, WEATHER
FENGYUN 3B, 37214, 2010-059A, November 4 2010, 101.7, WEATHER
COMS 1, 36744, 2010-032A, June 26 2010, 1436.1, WEATHER
GOES 15, 36411, 2010-008A, March 4 2010, 1436.2, WEATHER
DMSP 5D-3 F18 (USA 210), 35951, 2009-057A, October 18 2009, 101.9, WEATHER
METEOR-M, 35865, 2009-049A, September 17 2009, 101.3, WEATHER
GOES 14, 35491, 2009-033A, June 27 2009, 1436.1, WEATHER
NOAA 19, 33591, 2009-005A, February 6 2009, 102, WEATHER
FENGYUN 2E, 33463, 2008-066A, December 23 2008, 1436, WEATHER
SHIYUAN 3 (SY-3), 33433, 2008-056A, November 5 2008, 100.7, WEATHER
FENGYUN 3A, 32958, 2008-026A, May 27 2008, 101.4, WEATHER
FENGYUN 2D, 29640, 2006-053A, December 8 2006, 1466.5, WEATHER
DMSP 5D-3 F17 (USA 191), 29522, 2006-050A, November 4 2006, 101.8, WEATHER
METOP-A, 29499, 2006-044A, October 19 2006, 101.3, WEATHER
MTSAT-2, 28937, 2006-004A, February 18 2006, 1436.1, WEATHER
METEOSAT 9 (MSG 2), 28912, 2005-049B, December 21 2005, 1436.2, WEATHER
NOAA 18, 28654, 2005-018A, May 20 2005, 102, WEATHER
MTSAT-1R, 28622, 2005-006A, February 26 2005, 1455.8, WEATHER
FENGYUN 2C, 28451, 2004-042A, October 19 2004, 1468.1, WEATHER
DMSP 5D-3 F16 (USA 172), 28054, 2003-048A, October 18 2003, 101.9, WEATHER
INSAT 3A, 27714, 2003-013A, April 9 2003, 1442.7, WEATHER
KALPANA 1 (METSAT 1), 27525, 2002-043A, September 12 2002, 1464.3, WEATHER
METEOSAT 8 (MSG 1), 27509, 2002-040B, August 28 2002, 1436.1, WEATHER
FENGYUN 1D, 27431, 2002-024B, May 15 2002, 102.2, WEATHER
GOES 12, 26871, 2001-031A, July 23 2001, 1452.5, WEATHER
NOAA 16, 26536, 2000-055A, September 21 2000, 101.9, WEATHER
